index,input_path,found,percent,debug_quad,debug_warp,debug_mask,elapsed_ms
1,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/1.png",1,95,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-110619/1_1_debug_quad.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-110619/1_1_debug_warp.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-110619/1_1_debug_mask.png",62
2,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/10.png",1,93,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-110619/2_10_debug_quad.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-110619/2_10_debug_warp.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-110619/2_10_debug_mask.png",34
3,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/2.png",1,87,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-110619/3_2_debug_quad.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-110619/3_2_debug_warp.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-110619/3_2_debug_mask.png",43
4,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/3.png",0,,,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-110619/4_3_debug_mask.png",8
5,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/4.png",1,95,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-110619/5_4_debug_quad.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-110619/5_4_debug_warp.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-110619/5_4_debug_mask.png",35
6,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/5.png",1,95,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-110619/6_5_debug_quad.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-110619/6_5_debug_warp.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-110619/6_5_debug_mask.png",40
7,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/6.png",1,66,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-110619/7_6_debug_quad.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-110619/7_6_debug_warp.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-110619/7_6_debug_mask.png",34
8,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/7.png",1,98,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-110619/8_7_debug_quad.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-110619/8_7_debug_warp.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-110619/8_7_debug_mask.png",38
9,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/8.png",1,97,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-110619/9_8_debug_quad.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-110619/9_8_debug_warp.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-110619/9_8_debug_mask.png",35
10,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/9.png",0,,,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-110619/10_9_debug_mask.png",11
