index,input_path,found,percent,angle_deg,occupancy,hue_score,line_ok,debug_quad,debug_warp,debug_mask,debug_crop,debug_clip,elapsed_ms,Smin,Vmin,Vmax
1,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/1.png",1,43,10.77,0.76,1.00,1,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/1_1_debug_quad.png","","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/1_1_debug_mask.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/1_1_debug_crop.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/1_1_debug_clip.png",718,80,90,255
2,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/10.png",1,59,14.14,0.58,1.00,1,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/2_10_debug_quad.png","","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/2_10_debug_mask.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/2_10_debug_crop.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/2_10_debug_clip.png",629,80,90,255
3,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/2.png",1,76,6.69,0.80,1.00,1,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/3_2_debug_quad.png","","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/3_2_debug_mask.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/3_2_debug_crop.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/3_2_debug_clip.png",460,80,90,233
4,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/3.png",1,38,6.76,0.61,1.00,1,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/4_3_debug_quad.png","","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/4_3_debug_mask.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/4_3_debug_crop.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/4_3_debug_clip.png",666,80,90,255
5,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/4.png",1,71,89.00,0.85,1.00,1,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/5_4_debug_quad.png","","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/5_4_debug_mask.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/5_4_debug_crop.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/5_4_debug_clip.png",416,80,90,255
6,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/5.png",1,34,91.00,0.80,1.00,1,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/6_5_debug_quad.png","","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/6_5_debug_mask.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/6_5_debug_crop.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/6_5_debug_clip.png",398,80,90,255
7,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/6.png",1,53,8.31,0.84,1.00,1,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/7_6_debug_quad.png","","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/7_6_debug_mask.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/7_6_debug_crop.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/7_6_debug_clip.png",478,80,90,203
8,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/7.png",1,54,12.39,0.63,1.00,1,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/8_7_debug_quad.png","","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/8_7_debug_mask.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/8_7_debug_crop.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/8_7_debug_clip.png",751,80,90,255
9,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/8.png",1,39,100.00,0.56,1.00,1,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/9_8_debug_quad.png","","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/9_8_debug_mask.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/9_8_debug_crop.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/9_8_debug_clip.png",705,80,90,255
10,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/example/9.png",1,56,20.69,0.84,1.00,1,"/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/10_9_debug_quad.png","","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/10_9_debug_mask.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/10_9_debug_crop.png","/host/c/Users/Itay_Vazana/Desktop/MCE_CPP/outputs/debug/20250817-212047/10_9_debug_clip.png",501,80,90,215
